Código Materia;Nombre;Créditos;Prerequisitos(?:)*;Corequisitos(?:)*;Estado;Descripción
CBCC 1177;Colombia: Espacio, Tiempo, Diferencia;2;;;Pendiente;En este curso, que deben tomar todos los estudiantes de la Universidad, se indagarán algunas problemáticas que han contribuido a la conformación actual del país y se desarrollarán varias de las competencias del área de Colombia. Los principales objetivos del curso son:1) que el estudiante comprenda el país en sus dimensiones histórica y territorial y como parte de un sistema regional y global cambiante y 2) que Colombia es un país diverso, heterogéneo y desigual. El curso abordará estos objetivos desde una perspectiva interdisciplinaria a partir del análisis de fuentes que permitan al estudiante acercarse a las perspectivas de distintos actores sociales, en momentos y lugares diversos y que pongan en evidencia formas de desigualdad construidas en torno a la etnicidad, el género y la clase, entre otros. Se espera que este trabajo con las fuentes permita al estudiante comprender que toda perspectiva sobre un fenómeno es producto de un momento y lugar en el mundo. De esta manera se busca estimular en los estudiantes un pensamiento reflexivo que les permita comprender el país en el que se van a desempeñar como profesionales y ciudadanos. Se espera también que a lo largo de este curso los estudiantes puedan hacer explícitas sus propias perspectivas y nociones sobre Colombia y su transformación a lo largo del curso, con el fin de que se hagan conscientes de su mirada y puedan, desde ella y desde su contextualización, participar, actuar y transformar su entorno.
CBPC 1100;Mundos Lejanos;2;;;Pendiente;"En 1995 la visión del universo cambió con el descubrimiento del primer planeta fuera del sistema solar y el posterior hallazgo de muchos más. Estos hechos dieron un nuevo impulso a  la búsqueda de respuestas a las preguntas fundamentales: ¿estamos solos en el universo? ¿Existen otros sistemas solares? ¿Cuáles sistemas planetarios presentan condiciones aptas para la vida?  ¿Qué es la vida? En este curso se aportarán conocimientos y puntos de vista para que el estudiante emprenda el camino de responder estas importantes preguntas de la ciencia. Se mostrarán los aspectos multidisciplinarios de la Astronomía  y su influencia en el pensamiento de la humanidad. De esta manera, el estudiante podrá desarrollar la capacidad de conectar esta área de la ciencia con su carrera o programa de estudio. A través de la comprensión de los descubrimientos científicos de planetas fuera del sistema solar realizados por modernos telescopios, se explorarán las sofisticadas técnicas de  detección de planetas y se estudiará la instrumentación astronómica y la necesidad de tener observatorios astronómicos en los mejores lugares del mundo para realizar estos estudios.  "
LENG 2999;Requisito de lectura en inglés;0;;;Pendiente;Para cumplir el requisito de lectura en inglés, todos los estudiantes de pregrado de la Universidad deben aprobar el código LENG 2999, una vez hayan demostrado su competencia de lectura según las diferentes modalidades que ofrece la Universidad.
LENG 1159;English 09A Writing 2 - for Science and Engineering;2;LENG 1158;;Pendiente;This English for Academic Purposes (EAP) course allows students to engage with, analyze and produce different texts commonly found in academic writing, namely definitions, problem/solution, summaries and paraphrasing, process analysis and data commentary. The writing process will be approached first through the concept of genre analysis so students can better understand the global features and rhetorical conventions within their fields of writing. Then students will focus on the organization, clarity, cohesion, linguistic aspects, and presentation of their ideas. The aim of this course is to equip students with writing and language learning skills and resources which can be directly applied to their field and aid them in their future English writing. 
LENG 1162;English 10B Speaking 2 - for Professional Purposes;2;LENG 1159?LENG 1160;;Pendiente;Each course in the English Academic Support Program focuses on a particular topic. This course is the last course in the skills cycle and its topic focuses on applying the two central principles of the PAL program (English for Academic Purposes and Student Autonomy) towards improving student abilities in oral communication. The course allows students to both develop and present on content related to linguistic aspects relevant to learners of English as a second language as well as professional language specifically related to students’ future professional goals related and possibly unrelated to their fields of study. Prior to this course, students received specific instruction on the language learning process, phonetics, organization of ideas and autonomy; thus, this course extends prior learning about pronunciation and autonomy by teaching students prosodic features (such as intonation, thought groups and emphasis) through a blended learning approach. This will permit them to make their speech more natural, meaningful, interesting and comprehensible in a professional setting. English 10b also focuses on several key aspects of public speaking and spontaneous discourse through speaking tasks and assignments in different genres (presenting and discussing group proposals, a sales pitch, formal presentations, group interviews, one-on-one interviews). Special emphasis is placed on communicative strategies, preparation strategies, developing confidence and fluency, establishing connection with the audience, as well as the importance of organization and concision with respect to expressing ideas. The course is also based on the idea that being a strong speaker, whether it be as a public speaker or in spontaneous professional discourse with a specific aim, requires focused practice, so ‘learning by doing’ is emphasized. In sum, students completing this 48-hour course display improved clarity, fluency and precision in prepared talks as well as spontaneous / improvisational speaking situations. Public speaking skills are enhanced due to improvements in organization, concision and confidence, leading students to realize that it is not only what one says, but how one says it. This concept is emphasized not only with respect to the aforementioned techniques but through related academic readings on linguistics and critical discussion about sociocultural themes surrounding language learning and use.
FISI 1018;Física I;3;MATE 1203?MATE 1204;FISI 1019;Pendiente;Análisis dimensional. Sistemas de coordenadas. Vectores. Velocidad. Aceleración. Diagramas de movimiento. Movimiento uniformemente acelaredo. Caída libre. Movimiento en dos dimensiones. Movimiento circular uniforme. Velocidad relativa. Fuerzas. Leyes de Newton. Energía Cinética. Potencia. Energía potencial. Momento lineal. Movimiento de un sistema de partículas. Cinemática rotacional. Torque y momento angular. Conservación del momento angular. Ley de la gravitación universal. Leyes de Kepler. Movimiento armónico simple. Oscilaciones amortiguadas y forzadas. Ondas. 
FISI 1019;Física Experimental I;1;;FISI 1018;Pendiente;Medidas y cálculo de error. Regresiones lineales. Cinemática en una dimensión. Cinemática en dos dimensiones. Fuerzas. Movimientocircular uniforme. Energía potencial (lanzamiento vertical). Colisiones en dos dimensiones. Fuerza de fricción. Cuerpos rodando sin deslizar. Aceleración de la gravedad. Movimiento armónico simple. Ondas mecánicas en una cuerda. 
IELE 1400;Fundamentos de Redes;3;ISIS 1221;IELE 1400L;Pendiente;Al finalizar el curso se espera que los estudiantes tengan claridad sobre el significado y aplicación de los siguientes conceptos: 1) El concepto de la arquitectura en capas y sus modelos de servicios (distribución de responsabilidades, funciones, servicios, encapsulamiento). 2) Protocolos (mediante ejemplos concluir que son los protocolos, Descripción formal: máquina de estados finitos). 3) La razón de ser de Internet. 4) Conceptos de la capa de aplicación (cliente-servidor vs P2P, aplicaciones “clásicas” (HTTP, DNS, SMTP, IMAP, POP). 5) Conceptos de la capa de transporte: Transporte sin conexión vs. transporte orientado a la conexión (transferencia de datos fiable, control de congestión, control de flujo). 6) Conceptos de la capa de red: Conmutación (reenvío), enrutamiento, direccionamiento IP, redes de circuitos virtuales vs. datagramas. 7) Conceptos de las capas de enlace y física: Entramado, acceso al enlace, entrega fiable, control de flujo, detección/corrección de errores, enlaces físicos. 8) Redes LAN: IEEE 802.3, IEEE 802.11  
IELE 1400L;Laboratorio de Fundamentos de Redes;0;;IELE 1400;Pendiente;Al finalizar el curso se espera que los estudiantes tengan claridad sobre el significado y aplicación de los siguientes conceptos: 1) El concepto de la arquitectura en capas y sus modelos de servicios (distribución de responsabilidades, funciones, servicios, encapsulamiento). 2) Protocolos (mediante ejemplos concluir que son los protocolos, Descripción formal: máquina de estados finitos). 3) La razón de ser de Internet. 4) Conceptos de la capa de aplicación (cliente-servidor vs P2P, aplicaciones “clásicas” (HTTP, DNS, SMTP, IMAP, POP). 5) Conceptos de la capa de transporte: Transporte sin conexión vs. transporte orientado a la conexión (transferencia de datos fiable, control de congestión, control de flujo). 6) Conceptos de la capa de red: Conmutación (reenvío), enrutamiento, direccionamiento IP, redes de circuitos virtuales vs. datagramas. 7) Conceptos de las capas de enlace y física: Entramado, acceso al enlace, entrega fiable, control de flujo, detección/corrección de errores, enlaces físicos. 8) Redes LAN: IEEE 802.3, IEEE 802.11 
LENG 3999;Requisito Dominio de Lengua Extranjera;0;;;Pendiente;Para cumplir el requisito de domino de segunda lengua todos los estudiantes de pregrado de la Universidad deben inscribir el curso código LENG 3999, de manera que una vez hayan demostrado su competencia en una lengua extranjera según las diferentes modalidades que ofrece la Universidad, quede constancia de aprobación en su registro académico.
ISIS 2070;Monitoría de Ingeniería de Sistemas;0;;;Pendiente;
MATE 1208;Cálculo Vectorial (Honores);3;MATE 1214?MATE 1215:MATE 1105?MATE 1106;;Pendiente;Curvas en el plano y en el espacio. Superficies cilíndricas y cuádricas. Rectas y Planos. Derivadas parciales, regla de la cadena. Diferenciación en campos escalares y vectoriales: definiciones, técnicas y aplicaciones. Noción de gradiente. Máximos y mínimos de funciones de varias variables. Multiplicadores de Lagrange. Integrales de línea, múltiples, de superficie y de volumen. Teoremas de Green, Stokes y Gauss. Aplicaciones físicas y geométricas. La diferencia con MATE-1207 no es el contenido, es la profundidad y  rigurosidad de los temas tratados. 
MATE 2210;Cálculo de Variable Compleja (Ingeniería);2;MATE 1208;;Pendiente;El curso de Variable Compleja le permite al estudiante acceder a un curso de cálculo más general, el cual le sirve de lenguaje y de recopilación de herramientas para acceder a una gran colección de las aplicaciones en muchos campos en Ingeniería.  El objetivo de la asignatura es adquirir amplio dominio del cálculo en variable compleja, lo que incluye la aritmética con número complejos, funciones, límites, derivadas, integrales y series.
QUIM 1103;Química;3;;QUIM 1104;Pendiente;El curso de Química proporciona al estudiante conocimientos con los cuales el estudiante comprenderá algunos de los principales conceptos y leyes que se utilizan para explicar, mediante modelos apropiados, las transformaciones de la materia y su interacción con la energía, a través del estudio y revisión de experimentos, principios y teorías que permiten el pronóstico bastante confiable de esas interacciones. El curso introducirá al estudiante en tópicos relacionados con estructura atómica y molecular, estequiometria, equilibrio y cinética química. 
QUIM 1104;Laboratorio de Química;0;;QUIM 1103;Pendiente;El Laboratorio de Química contempla prácticas donde se realizan experimentos que tienen como objetivo reforzar los conocimientos adquiridos en el curso de Química. Los experimentos realizados cubren tópicos básicos tales como estructura atómica, estequiometría, calorimetría, gases, equilibrio químico.
ISIS 1106;Lenguajes y Máquinas;3;ISIS 1104:ISIS 1225:LITE 1622;;Pendiente;El objetivo de este curso es enseñar los conceptos básicos de la teoría de lenguajes a través de los formalismos usados para describir los lenguajes y las máquinas usadas para reconocerlos. Se pretende ver el uso de estas máquinas en dominios distintos a los lenguajes. Finalmente se verán otras máquinas abstractas y su utilidad en modelaje.    Al final del curso los estudiantes deberán ser capaces de: Entender los distintos formalismos usados para definir lenguajes Modelar problemas sencillos con distintos tipos de máquinas abstractas. Entender las limitaciones de cada una de estas. Usar lenguajes formales para definir las máquinas. Demostrar propiedades sobre estas máquinas.   
ISIS 1206;Estructuras de Datos;3;ISIS 1205;;Pendiente;El propósito de este curso es crear habilidad en el estudiante en el DISEÑO y manejo de estructuras de datos en memoria principal. Al final del curso, se espera que el estudiante esté en capacidad de: Diseñar e implementar una estructura contenedora abstracta, garantizando el desacoplamiento entre su descripción funcional y su representación interna. Proponer y justificar el DISEÑO de unas estructuras de datos para resolver un problema, utilizando como argumentos la complejidad de los algoritmos que implementan las oPeñaciones críticas, el espacio ocupado en memoria y la flexibilidad. Entender los diferentes tipos de estructuras de datos que se pueden utilizar para modelar los elementos de un mundo. Escribir los algoritmos que manipulan las principales estructuras de datos lineales, de acceso directo, recursivas y no lineales . Escribir las pruebas unitarias automáticas para probar la implementación de las estructuras contenedoras, utilizando generación aLeañoria de escenarios. Utilizar las clases del framework de colecciones de Java. Utilizar una arquitectura MVC para implementar un programa Utilizar una arquitectura multi-capas para implementar un programa, desarrollando cada parte como un componente independiente. Utilizar la herramienta ant para la compilación y empaquetamiento de componentes de software. Construir programas WEB simples, cuya interfaz utilice applets y servlets.  
ISIS 1304;Infraestructura Tecnológica;3;ISIS 1225;;Pendiente;En este curso se estudia la arquitectura básica de un computador: sus componentes, el funcionamiento e interacción de los mismos, así como su caracterización. Se proporciona al estudiante el lenguaje, conceptos y herramientas básicas para analizar infraestructura informática en términos de confiabilidad y desempeño. Al final del curso, se esPeñaría que el estudiante esté en la capacidad de: Comprender la problemática de la representación de información Capacidad para entender y usar algunos sistemas de representación de información Describir la arquitectura del computador: sus componentes, sus respectivas funciones y sus interacciones Comprender el soporte que el hardware proporciona al software y el impacto que tiene sobre este Caracterizar los componentes del computador: explicar los aspectos que influyen o condicionan su correcto comportamiento y desempeño, así como las métricas que definen la calidad de su oPeñación Caracterizar el desempeño de una arquitectura. Comparar alternativas en términos de desempeño 
IELE 1006;Fundamentos de Circuitos;4;MATE 1215:MATE 1106:LITE 1622;IELE 1006L;Pendiente;En este curso se presentan conceptos fundamentales de circuitos eléctricos y se estudian diferentes métodos de análisis de circuitos con el fin de que el estudiante sea capaz de elegir el método más adecuado para el desarrollo de un problema y de entender el funcionamiento de algunos elementos básicos en los circuitos. También se desarrollan circuitos de función compleja a partir de bloques circuitales con funciones básicas y se apropian herramientas necesarias para el modelamiento, análisis, diseño y validación de circuitos.  Con el curso los estudiantes podrán: 1) Identificar el tipo de análisis de circuitos requerido (tiempo o frecuencia; régimen de estado estable o régimen transitorio). 2) Determinar la estrategia de análisis estructural idónea para encontrar las ecuaciones de las variables requeridas (nodos, mallas, superposición, transformación de fuentes, Thévenin, Norton, redes de dos puertos). 3) Utilizar los modelos para predecir el comportamiento de los circuitos por medio de cálculos (ecuaciones diferenciales, fasores).4) Diseñar sistemas de adecuación de señales de acuerdo a los requerimientos planteados (filtraje y amplificación).
IELE 1006L;Laboratorio Fundamentos de Circuitos;0;;IELE 1006;Pendiente;El Laboratorio de Fundamentos de Circuitos le permitirá al estudiante desarrollar habilidades para: 1) Manejar herramientas de software (simulación) y hardware para el análisis, diseño y validación. 2) Realizar mediciones físicas en circuitos eléctricos utilizando equipos apropiados (voltímetro, amperímetro, osciloscopio). 3) Utilizar normas de seguridad en el manejo de equipos de laboratorio. 4) Realizar montajes de circuitos, así como detectar fallos en circuitos montados.  
FISI 1028;Física II;3;FISI 1018:MATE 1203?MATE 1204:MATE 1214?MATE 1215:MATE 1105?MATE 1106;FISI 1029;Pendiente;Temperatura, termómetros y escalas de temPeñatura. Expansión térmica. Gas ideal. Teoría cinética de gases. Calor. Calor específico. Leyes de la termodinámica. Procesos adiabáticos. Mecanismos de transferencia de calor. Reversibilidad e irreversibilidad. La máquina de Carnot. Refrigeradores. Entropía. Cargas eléctricas y ley de Coulomb. Campo eléctrico. Ley de Gauss. Materiales conductores. Potencial eléctrico. Capacitancia. Corriente eléctrica y Ley de Ohm. Conductividad eléctrica y superconductividad. El campo magnético. La fuerza de Lorentz. Ley de Biot & Savart. Ley de Ampere. Ley de inducción de Faraday. Ley de Lenz. Ecuaciones de Maxwell. Ondas electromagnéticas. Espectro electromagnético. Polarización.  
FISI 1029;Física Experimental II;1;FISI 1019;FISI 1028;Pendiente;Repaso de cálculo de errores y regresión lineal. Calor latente del agua. Dilatación térmica del agua. Líneas de campo eléctrico. Líneas equipotenciales. Carga y descarga de un condensador en serie y en paralelo. Ley de Ohm. Campo Magnético de un imán. Ley de Biot – Savart. Inductancia. Inducción electromagnética. Polarización. Índice de refracción y reflexión interna total.
IIND 2106;Probabilidad y Estadística I;3;MATE 1214?MATE 1215:MATE 1105?MATE 1106;IIND 2106T;Pendiente;El curso brinda una formación en conceptos básicos de probabilidad y en el manejo y análisis de datos estadísticos. Se hace especial énfasis en que los estudiantes logren una adecuada comprensión y utilización de los modelos no determinísticos en la solución de problemas de la vida real que comportan riesgo e incertidumbre.  Al final del curso el estudiante debe estar en capacidad de:  1. Identificar en un experimento aleatorio el espacio muestral y los eventos de interés para calcular e interpretar probabilidades. 2. Identificar y representar situaciones simples utilizando técnicas de conteo para calcular e interpretar probabilidades. 3. Identificar y representar con árboles de probabilidad eventos condicionales para calcular e interpretar probabilidades. 4. Identificar variables aleatorias discretas y continuas que representen los resultados de diferentes experimentos aleatorios. 5. Calcular e interpretar probabilidades con base en las distribuciones discretas y continuas de mayor aplicación. 6. Calcular e interpretar el valor esperado y la varianza de una variable aleatoria. 7. Modelar en Crystal Ball situaciones que comportan riesgo e incertidumbre con el propósito de representar, analizar y cuantificar el riesgo. 8. Construir y analizar funciones de probabilidad de distribuciones bivariadas. 9. Calcular e interpretar probabilidades de distribuciones bivariadas. 10. Calcular e interpretar valores esperados, covarianzas y correlaciones de variables conjuntas. 11. Determinar la distribución de la suma de variables aleatorias independientes de mayor aplicación para calcular e interpretar probabilidades. 12. Calcular, interpretar y analizar las principales estadísticas descriptivas de un conjunto de datos. 13. Construir estimadores, y comprender e interpretar sus propiedades básicas y sus aplicaciones. 14. Construir, calcular e interpretar intervalos de confianza. 15. Identificar, formular y evaluar las pruebas de hipótesis estadísticas de mayor aplicación. 16. Aplicar pruebas de Bondad de Ajuste a un conjunto de datos e interpretar sus resultados. 17. Construir modelos de regresión lineal simple y múltiple, interpretar sus resultados y verificar sus supuestos.
MATE 3712;Teoría de Juegos;3;IIND 2106:MATE 1106:MATE 1215;;Pendiente;Este curso busca formalizar el pensamiento estratégico  para la toma de decisiones en problemas que involucran interacciones entre agentes. Está dirigido a estudiantes que no sólo valoran el rigor formal en la formulación y análisis de los problemas, sino que también están interesados en la relación entre teoría y las aplicaciones. En el curso se desarrollan los conceptos relacionados con los juegos no cooperativos, cooperativos y evolutivos. Se analizan formalmente las ideas de racionalidad y equilibrio en juegos de diferente naturaleza, teniendo en cuenta la presencia de incertidumbre y utilizando diferentes métodos de solución. Se estudian aplicaciones en economía, finanzas, elección social, biología, ingeniería y redes, entre otras disciplinas.  
IIND 2106T;Trabajo Asistido Probabilidad y Estadística I;0;;IIND 2106;Pendiente;
IIND 2401;Análisis de Decisión de Inversión;3;MATE 1106:ISIS 1001;;Pendiente;El curso busca desarrollar las habilidades y competencias necesarias para que el ingeniero (1) Identifique, formule y resuelva complejos problemas de ingeniería mediante la aplicación de los principios de ingeniería, ciencia y matemáticas (2) contextualice un problema de ingeniería dentro del enfoque económico y/o financiero teniendo en cuenta restricciones realistas tales como las ambientales, sociales, éticas y de sostenibilidad (3) Adquiera y aplique nuevos conocimientos según las necesidades, usando estrategias de aprendizajes apropiadas y (4) desarrolle conocimientos de los temas contemporáneos relacionados con el ejercicio de la Ingeniería. Para todo lo anterior, el estudiante debe adquirir las competencias necesarias para identificar, dimensionar e incorporar las variables claves en la estructuración y evaluación financiera de proyectos de inversión. Al tomar este curso el ingeniero debe estar en capacidad de aportar sus conocimientos sobre la evaluación financiera y económica de los proyectos de inversión que se le planteen en grupos multidisciplinarios. El curso pretende entonces que el ingeniero vea su actividad como parte de un circuito económico y que evalúe desde dicha perspectiva las implicaciones de los proyectos de ingeniería en un contexto global, económico y social. Quien tome el curso además debería ser capaz de conducir evaluaciones financieras de proyectos de inversión considerando un análisis detallado del riesgo generado por los elementos principales de la evaluación financiera y su impacto en las variables de respuesta de generación de valor y rentabilidad.
ISIS 1105;Diseño y Análisis de Algoritmos;3;ISIS 1104:ISIS 1206?ISIS 1225:MATE 1106;;Pendiente;El objetivo de este curso es presentar a los estudiantes los conceptos básicos del DISEÑO y análisis de algoritmos. Al finalizar el curso el estudiante debe estar ser capaz de aplicar técnicas de desarrollo de algoritmos como dividir y conquistar, programación dinámica y diversos algoritmos de búsqueda y analizar su complejidad en tiempo y en espacio.   El estudiante debe conocer las limitaciones de la programación en términos de intratabilidad de ciertos problemas, reducciones, NP completitud. El estudiante debe:   Modelar Especificar programas Conocer límites de la algorítmica  Solucionar problemas de programación Diseñar Algoritmos Implementar algoritmos Documentar Razonar Formalmente Analizar algoritmos Verificar programas Trabajar en grupo    
ISIS 2603;Desarrollo de SW en Equipo;3;ISIS 1206?ISIS 1226;;Pendiente;El propósito del curso, para el estudiante, es adquirir experiencia práctica a través del desarrollo de un proyecto de tamaño mediano, en grupos de cinco personas. Para esto se utiliza un proceso de entrega por etapas iterativo, apoyado en herramientas computacionales. Al finalizar el curso, se espera que el estudiante esté en capacidad de: Explicar los problemas más importantes (y sus causas) de la industria de software. Seguir un proceso de desarrollo de software incremental para la construcción de un producto de tamaño mediano. Definir roles y asignar responsabilidades en el desarrollo de un proyecto. Entender las actividades del ciclo de vida de un proyecto y estar en capacidad de realizarlas apoyado en el uso de diversas metodologías y herramientas. Coordinar mejor las actividades administrativas y de desarrollo de un proyecto. Conocer algunas herramientas de apoyo al proceso de construcción de software.
